match_id,competition_key,match_date,kick_off,match_week,home_team_id,away_team_id,home_score,away_score,home_win,draw,home_loss,stadium_id,referee_id,match_status,home_goal_diff
9985304,22619991-21-22619992,2026-02-11,18:00:00,20,6576,5675,1,3,0,0,1,1300,6,available,-2
9985303,22619991-21-22619992,2026-02-14,11:00:00,20,2686,6652,1,2,0,0,1,68,43,available,-1
9985307,22619991-21-22619992,2026-02-14,11:00:00,20,9576,4539,1,1,0,1,0,4218,40,available,0
9985305,22619991-21-22619992,2026-02-14,11:15:00,20,9592,9652,0,4,0,0,1,4269,177,available,-4
9985302,22619991-21-22619992,2026-02-14,12:00:00,20,10422,29730,3,3,0,1,0,4,56,available,0
9985308,22619991-21-22619992,2026-02-14,12:00:00,20,5842,10341,0,5,0,0,1,1313,137,available,-5
9985310,22619991-21-22619992,2026-02-14,12:00:00,20,4558,6791,7,0,1,0,0,4853,70,available,7
9985306,22619991-21-22619992,2026-02-14,13:00:00,20,9501,12972,0,3,0,0,1,3169,181,available,-3
9985309,22619991-21-22619992,2026-02-14,18:30:00,20,13129,6087,3,4,0,0,1,4260,182,available,-1
9985312,22619991-21-22619992,2026-02-21,11:15:00,21,29730,2686,1,5,0,0,1,1294,62,available,-4
9985317,22619991-21-22619992,2026-02-21,11:30:00,21,4539,5842,1,2,0,0,1,70,49,available,-1
9985313,22619991-21-22619992,2026-02-21,12:10:00,21,6652,6576,4,1,1,0,0,1285,54,available,3
9985315,22619991-21-22619992,2026-02-21,13:00:00,21,9652,9501,3,0,1,0,0,3169,42,available,3
9985319,22619991-21-22619992,2026-02-21,13:00:00,21,6087,4558,4,3,1,0,0,22715316,187,available,1
9985311,22619991-21-22619992,2026-02-21,15:30:00,21,6791,10422,0,0,0,1,0,1898,188,available,0
9985314,22619991-21-22619992,2026-02-21,18:00:00,21,5675,9592,5,0,1,0,0,1964,168,available,5
9985318,22619991-21-22619992,2026-02-22,15:30:00,21,10341,13129,3,0,1,0,0,3155,60,available,3
9985316,22619991-21-22619992,2026-02-22,17:45:00,21,12972,9576,3,2,1,0,0,3159,84,available,1
9985323,22619991-21-22619992,2026-02-28,11:00:00,22,9501,5675,1,0,1,0,0,3169,2,available,1
9985324,22619991-21-22619992,2026-02-28,11:00:00,22,9576,9652,1,2,0,0,1,4218,28,available,-1
9985327,22619991-21-22619992,2026-02-28,12:15:00,22,4558,10341,1,3,0,0,1,1473,51,available,-2
9985328,22619991-21-22619992,2026-02-28,13:00:00,22,6087,6791,4,3,1,0,0,22715316,195,available,1
9985320,22619991-21-22619992,2026-02-28,16:30:00,22,2686,10422,1,1,0,1,0,68,66,available,0
9985325,22619991-21-22619992,2026-02-28,17:45:00,22,5842,12972,1,3,0,0,1,1313,197,available,-2
9985321,22619991-21-22619992,2026-02-28,18:30:00,22,6576,29730,2,2,0,1,0,1300,198,available,0
9985322,22619991-21-22619992,2026-03-01,16:00:00,22,9592,6652,1,0,1,0,0,4269,156,available,1
9985326,22619991-21-22619992,2026-03-01,16:00:00,22,13129,4539,2,1,1,0,0,4260,67,available,1
9985333,22619991-21-22619992,2026-03-07,10:30:00,23,5675,9576,2,1,1,0,0,1964,169,available,1
9985334,22619991-21-22619992,2026-03-07,11:00:00,23,9652,5842,5,0,1,0,0,3169,202,available,5
9985336,22619991-21-22619992,2026-03-07,11:30:00,23,4539,4558,0,8,0,0,1,70,81,available,-8
9985332,22619991-21-22619992,2026-03-07,12:20:00,23,6652,9501,1,1,0,1,0,1285,204,available,0
9985335,22619991-21-22619992,2026-03-07,16:00:00,23,12972,13129,1,0,1,0,0,3159,2,available,1
9985330,22619991-21-22619992,2026-03-07,16:30:00,23,10422,6576,4,1,1,0,0,,143,available,3
9985331,22619991-21-22619992,2026-03-08,12:30:00,23,29730,9592,3,1,1,0,0,1294,76,available,2
9985337,22619991-21-22619992,2026-03-08,15:30:00,23,10341,6087,3,3,0,1,0,3155,21,available,0
9985329,22619991-21-22619992,2026-03-08,17:00:00,23,6791,2686,0,1,0,0,1,1898,22,available,-1
9985344,22619991-21-22619992,2026-03-14,10:00:00,24,4558,12972,5,0,1,0,0,4853,210,available,5
9985343,22619991-21-22619992,2026-03-14,12:30:00,24,13129,9652,0,2,0,0,1,4260,212,available,-2
9985340,22619991-21-22619992,2026-03-14,11:00:00,24,9501,29730,1,1,0,1,0,3169,28,available,0
9985345,22619991-21-22619992,2026-03-14,15:30:00,24,6087,4539,2,0,1,0,0,22715316,153,available,2
9985342,22619991-21-22619992,2026-03-14,18:00:00,24,5842,5675,1,3,0,0,1,1313,214,available,-2
9985338,22619991-21-22619992,2026-03-14,18:45:00,24,6576,2686,1,3,0,0,1,1300,98,available,-2
9985339,22619991-21-22619992,2026-03-15,13:00:00,24,9592,10422,2,2,0,1,0,4269,216,available,0
9985341,22619991-21-22619992,2026-03-15,15:30:00,24,9576,6652,1,1,0,1,0,4218,217,available,0
9985346,22619991-21-22619992,2026-03-15,16:00:00,24,10341,6791,5,1,1,0,0,3155,79,available,4
9985353,22619991-21-22619992,2026-03-19,11:00:00,25,9652,4558,1,6,0,0,1,3169,84,available,-5
9985351,22619991-21-22619992,2026-03-19,12:00:00,25,6652,5842,3,1,1,0,0,1285,39,available,2
9985355,22619991-21-22619992,2026-03-21,11:30:00,25,4539,10341,1,6,0,0,1,70,221,available,-5
9985349,22619991-21-22619992,2026-03-21,12:00:00,25,10422,9501,4,1,1,0,0,,222,available,3
9985352,22619991-21-22619992,2026-03-21,15:30:00,25,5675,13129,6,1,1,0,0,1964,18,available,5
9985348,22619991-21-22619992,2026-03-21,16:00:00,25,2686,9592,2,2,0,1,0,68,124,available,0
9985354,22619991-21-22619992,2026-03-21,18:30:00,25,12972,6087,0,4,0,0,1,3159,225,available,-4
9985350,22619991-21-22619992,2026-03-22,17:00:00,25,29730,9576,0,5,0,0,1,1294,226,available,-5
9985347,22619991-21-22619992,2026-03-22,17:30:00,25,6791,6576,1,2,0,0,1,1898,58,available,-1
9985356,22619991-21-22619992,2026-03-28,10:30:00,26,9592,6576,1,0,1,0,0,4269,47,available,1
9985357,22619991-21-22619992,2026-03-28,11:00:00,26,9501,2686,2,2,0,1,0,3169,229,available,0
9985364,22619991-21-22619992,2026-03-28,11:30:00,26,4539,6791,1,0,1,0,0,70,117,available,1
9985361,22619991-21-22619992,2026-03-28,12:00:00,26,4558,5675,2,2,0,1,0,1473,28,available,0
9985363,22619991-21-22619992,2026-03-28,12:45:00,26,10341,12972,3,1,1,0,0,3155,61,available,2
9985358,22619991-21-22619992,2026-03-28,13:00:00,26,9576,10422,0,0,0,1,0,4218,156,available,0
9985359,22619991-21-22619992,2026-03-29,11:30:00,26,5842,29730,4,2,1,0,0,1313,234,available,2
9985362,22619991-21-22619992,2026-03-29,11:30:00,26,6087,9652,2,2,0,1,0,22715282,235,available,0
9985360,22619991-21-22619992,2026-03-29,18:30:00,26,13129,6652,1,3,0,0,1,4260,103,available,-2
9985371,22619991-21-22619992,2026-04-11,10:30:00,27,5675,6087,0,4,0,0,1,1964,188,available,-4
9985372,22619991-21-22619992,2026-04-11,11:00:00,27,9652,10341,2,4,0,0,1,3169,84,available,-2
9985365,22619991-21-22619992,2026-04-11,12:45:00,27,6791,9592,2,2,0,1,0,1898,1,available,0
9985367,22619991-21-22619992,2026-04-12,10:30:00,27,2686,9576,2,0,1,0,0,68,38,available,2
9985370,22619991-21-22619992,2026-04-12,10:30:00,27,6652,4558,0,3,0,0,1,1285,241,available,-3
9985368,22619991-21-22619992,2026-04-12,12:30:00,27,10422,5842,2,1,1,0,0,4,99,available,1
9985369,22619991-21-22619992,2026-04-12,16:30:00,27,29730,13129,3,4,0,0,1,1294,62,available,-1
9985373,22619991-21-22619992,2026-04-12,17:45:00,27,12972,4539,6,0,1,0,0,3159,106,available,6
9985366,22619991-21-22619992,2026-04-12,18:45:00,27,6576,9501,1,1,0,1,0,1300,245,available,0
9990710,22620267-21-22620268,2025-09-20,11:00:00,1,996,2101,0,1,0,0,1,71,246,available,-1
9990708,22620267-21-22620268,2025-09-20,12:30:00,1,985,29596,7,0,1,0,0,3155,247,available,7
